european_capital_cities;p_age;p_gender;p_education;p_country;p_id
dublin;21;Male;High school degree or equivalent;Germany;82
reykjavik;21;Male;High school degree or equivalent;Germany;82
berlin;23;Female;Bachelor's degree;Germany;83
madrid;23;Female;Bachelor's degree;Germany;83
rome;23;Female;Bachelor's degree;Germany;83
berlin;28;Female;Master's degree;Germany;84
paris;28;Female;Master's degree;Germany;84
rome;28;Female;Master's degree;Germany;84
london;25;Female;Master's degree;Germany;85
vienna;25;Female;Master's degree;Germany;85
sofia;25;Female;Master's degree;Germany;85
paris;25;Female;Bachelor's degree;Russia;86
copenhagen;25;Female;Bachelor's degree;Russia;86
brussels;25;Female;Bachelor's degree;Russia;86
lisbon;24;Female;High school degree or equivalent;Germany;87
warsaw;24;Female;High school degree or equivalent;Germany;87
rome;24;Female;High school degree or equivalent;Germany;87
berlin;26;Male;Bachelor's degree;Germany;88
kiev;26;Male;Bachelor's degree;Germany;88
warsaw;26;Male;Bachelor's degree;Germany;88
berlin;27;Female;Master's degree;Germany;89
paris;27;Female;Master's degree;Germany;89
madrid;27;Female;Master's degree;Germany;89
copenhagen;25;Male;Bachelor's degree;Germany;90
paris;25;Male;Bachelor's degree;Germany;90
madrid;25;Male;Bachelor's degree;Germany;90
berlin;25;Male;High school degree or equivalent;Germany;91
paris;25;Male;High school degree or equivalent;Germany;91
madrid;25;Male;High school degree or equivalent;Germany;91
berlin;28;Male;High school degree or equivalent;Germany;92
amsterdam;28;Male;High school degree or equivalent;Germany;92
copenhagen;28;Male;High school degree or equivalent;Germany;92
london;47;Female;Bachelor's degree;England;93
madrid;47;Female;Bachelor's degree;England;93
rome;47;Female;Bachelor's degree;England;93
london;38;Male;Bachelor's degree;Germany;94
berlin;38;Male;Bachelor's degree;Germany;94
warsaw;38;Male;Bachelor's degree;Germany;94
berlin;40;Female;Bachelor's degree;China;95
london;40;Female;Bachelor's degree;China;95
paris;40;Female;Bachelor's degree;China;95
helsinki;28;Female;High school degree or equivalent;Pakistan;96
berlin;28;Female;High school degree or equivalent;Pakistan;96
rome;28;Female;High school degree or equivalent;Pakistan;96
berlin;48;Female;Master's degree;Germany;97
paris;48;Female;Master's degree;Germany;97
london;48;Female;Master's degree;Germany;97
reykjavik;26;Male;Less than a high school degree;Germany;98
oslo;26;Male;Less than a high school degree;Germany;98
helsinki;26;Male;Less than a high school degree;Germany;98
berlin;26;Female;High school degree or equivalent;Germany;99
sofia;26;Female;High school degree or equivalent;Germany;99
helsinki;26;Female;High school degree or equivalent;Germany;99
paris;45;Female;Bachelor's degree;USA;100
lisbon;45;Female;Bachelor's degree;USA;100
berlin;45;Female;Bachelor's degree;USA;100
barcelona;23;Female;Master's degree;England;101
london;23;Female;Master's degree;England;101
dublin;23;Female;Master's degree;England;101
london;26;Female;Bachelor's degree;Germany;102
paris;26;Female;Bachelor's degree;Germany;102
berlin;26;Female;Bachelor's degree;Germany;102
paris;70;Female;Master's degree;Germany;103
berlin;70;Female;Master's degree;Germany;103
rome;70;Female;Master's degree;Germany;103
dublin;33;Female;Master's degree;Iran;104
london;33;Female;Master's degree;Iran;104
belfast;33;Female;Master's degree;Iran;104
paris;59;Male;Doctorate (e.g. PhD);Germany;105
london;59;Male;Doctorate (e.g. PhD);Germany;105
helsinki;59;Male;Doctorate (e.g. PhD);Germany;105
paris;47;Female;Doctorate (e.g. PhD);Germany;106
london;47;Female;Doctorate (e.g. PhD);Germany;106
berlin;47;Female;Doctorate (e.g. PhD);Germany;106
paris;50;Female;Doctorate (e.g. PhD);Germany;107
rome;50;Female;Doctorate (e.g. PhD);Germany;107
london;50;Female;Doctorate (e.g. PhD);Germany;107
vienna;45;Female;Doctorate (e.g. PhD);Germany;108
berlin;45;Female;Doctorate (e.g. PhD);Germany;108
moscow;45;Female;Doctorate (e.g. PhD);Germany;108
