continents;p_age;p_gender;p_education;p_country;p_id
europe;23;Female;Bachelor's degree;germany;48
africa;23;Female;Bachelor's degree;germany;48
europe;36;Male;Bachelor's degree;india;49
asia;36;Male;Bachelor's degree;india;49
africa;36;Male;Bachelor's degree;india;49
europe;28;Female;Master's degree;romania;50
asia;28;Female;Master's degree;romania;50
africa;28;Female;Master's degree;romania;50
europe;19;Female;High school degree or equivalent;germany;51
asia;19;Female;High school degree or equivalent;germany;51
africa;19;Female;High school degree or equivalent;germany;51
europe;19;Female;High school degree or equivalent;germany;52
asia;19;Female;High school degree or equivalent;germany;52
africa;19;Female;High school degree or equivalent;germany;52
asia;25;Male;Bachelor's degree;germany;53
europe;25;Male;Bachelor's degree;germany;53
africa;25;Male;Bachelor's degree;germany;53
europe;34;Female;Master's degree;france;54
north america;34;Female;Master's degree;france;54
asia;34;Female;Master's degree;france;54
australia;20;Female;High school degree or equivalent;germany;55
europe;20;Female;High school degree or equivalent;germany;55
south america;20;Female;High school degree or equivalent;germany;55
asia;26;Female;Master's degree;france;56
europe;26;Female;Master's degree;france;56
north america;26;Female;Master's degree;france;56
antarctica;29;Prefer not to say;Master's degree;germany;57
europe;29;Prefer not to say;Master's degree;germany;57
africa;29;Prefer not to say;Master's degree;germany;57
europe;31;Male;Master's degree;germany;58
north america;31;Male;Master's degree;germany;58
south america;31;Male;Master's degree;germany;58
asia;23;Male;High school degree or equivalent;germany;59
africa;23;Male;High school degree or equivalent;germany;59
europe;23;Male;High school degree or equivalent;germany;59
europe;21;Female;High school degree or equivalent;germany;60
africa;21;Female;High school degree or equivalent;germany;60
asia;21;Female;High school degree or equivalent;germany;60
europe;54;Male;High school degree or equivalent;germany;61
australia;54;Male;High school degree or equivalent;germany;61
asia;54;Male;High school degree or equivalent;germany;61
europe;30;Female;Master's degree;france;62
north america;30;Female;Master's degree;france;62
asia;30;Female;Master's degree;france;62
africa;24;Male;Bachelor's degree;germany;63
europe;24;Male;Bachelor's degree;germany;63
asia;24;Male;Bachelor's degree;germany;63
europe;17;Male;Less than a high school degree;germany;64
africa;17;Male;Less than a high school degree;germany;64
asia;17;Male;Less than a high school degree;germany;64
africa;25;Female;High school degree or equivalent;germany;65
asia;25;Female;High school degree or equivalent;germany;65
antarctica;25;Female;High school degree or equivalent;germany;65
africa;16;Male;Less than a high school degree;germany;66
europe;16;Male;Less than a high school degree;germany;66
north america;16;Male;Less than a high school degree;germany;66
asia;21;Male;High school degree or equivalent;germany;67
europe;21;Male;High school degree or equivalent;germany;67
oceania;21;Male;High school degree or equivalent;germany;67
asia;0;Prefer not to say;NaN;nan;68
europe;0;Prefer not to say;NaN;nan;68
north america;0;Prefer not to say;NaN;nan;68
africa;24;Female;Master's degree;france;69
australia;24;Female;Master's degree;france;69
europe;24;Female;Master's degree;france;69
europe;26;Female;Master's degree;france;70
north america;26;Female;Master's degree;france;70
asia;26;Female;Master's degree;france;70
europe;34;Female;Master's degree;germany;71
asia;34;Female;Master's degree;germany;71
africa;34;Female;Master's degree;germany;71
africa;54;Male;Less than a high school degree;germany;72
asia;54;Male;Less than a high school degree;germany;72
australia;54;Male;Less than a high school degree;germany;72
europe;23;Male;Bachelor's degree;germany;73
north america;23;Male;Bachelor's degree;germany;73
asia;23;Male;Bachelor's degree;germany;73
europe;27;Male;Master's degree;germany;74
north america;27;Male;Master's degree;germany;74
asia;27;Male;Master's degree;germany;74
europe;25;Male;Bachelor's degree;germany;75
africa;25;Male;Bachelor's degree;germany;75
asia;25;Male;Bachelor's degree;germany;75
africa;27;Female;Master's degree;germany;76
europe;27;Female;Master's degree;germany;76
australia;27;Female;Master's degree;germany;76
asia;51;Male;High school degree or equivalent;germany;77
europe;51;Male;High school degree or equivalent;germany;77
africa;51;Male;High school degree or equivalent;germany;77
north america;26;Male;High school degree or equivalent;germany;78
south america;26;Male;High school degree or equivalent;germany;78
asia;26;Male;High school degree or equivalent;germany;78
europe;27;Male;Bachelor's degree;germany;79
north america;27;Male;Bachelor's degree;germany;79
africa;27;Male;Bachelor's degree;germany;79
africa;25;Male;Master's degree;germany;80
europe;25;Male;Master's degree;germany;80
africa;25;Male;Bachelor's degree;germany;81
asia;25;Male;Bachelor's degree;germany;81
europe;25;Male;Bachelor's degree;germany;81
europe;21;Male;High school degree or equivalent;germany;82
asia;21;Male;High school degree or equivalent;germany;82
africa;21;Male;High school degree or equivalent;germany;82
europe;23;Female;Bachelor's degree;germany;83
north america;23;Female;Bachelor's degree;germany;83
africa;23;Female;Bachelor's degree;germany;83
africa;28;Female;Master's degree;germany;84
north america;28;Female;Master's degree;germany;84
europe;28;Female;Master's degree;germany;84
africa;25;Female;Master's degree;germany;85
asia;25;Female;Master's degree;germany;85
europe;25;Female;Master's degree;germany;85
europe;25;Female;Bachelor's degree;russia;86
africa;25;Female;Bachelor's degree;russia;86
north america;25;Female;Bachelor's degree;russia;86
africa;24;Female;High school degree or equivalent;germany;87
asia;24;Female;High school degree or equivalent;germany;87
australia;24;Female;High school degree or equivalent;germany;87
africa;26;Male;Bachelor's degree;germany;88
australia;26;Male;Bachelor's degree;germany;88
europe;26;Male;Bachelor's degree;germany;88
asia;27;Female;Master's degree;germany;89
europe;27;Female;Master's degree;germany;89
africa;27;Female;Master's degree;germany;89
asia;25;Male;Bachelor's degree;germany;90
europe;25;Male;Bachelor's degree;germany;90
africa;25;Male;Bachelor's degree;germany;90
europe;25;Male;High school degree or equivalent;germany;91
asia;25;Male;High school degree or equivalent;germany;91
south america;25;Male;High school degree or equivalent;germany;91
europe;28;Male;High school degree or equivalent;germany;92
north america;28;Male;High school degree or equivalent;germany;92
africa;28;Male;High school degree or equivalent;germany;92
europe;47;Female;Bachelor's degree;england;93
asia;47;Female;Bachelor's degree;england;93
africa;47;Female;Bachelor's degree;england;93
asia;38;Male;Bachelor's degree;germany;94
europe;38;Male;Bachelor's degree;germany;94
africa;38;Male;Bachelor's degree;germany;94
asia;40;Female;Bachelor's degree;china;95
europe;40;Female;Bachelor's degree;china;95
africa;40;Female;Bachelor's degree;china;95
north america;28;Female;High school degree or equivalent;pakistan;96
europe;28;Female;High school degree or equivalent;pakistan;96
asia;28;Female;High school degree or equivalent;pakistan;96
europe;48;Female;Diplom;germany;97
africa;48;Female;Diplom;germany;97
asia;48;Female;Diplom;germany;97
europe;26;Male;Less than a high school degree;germany;98
australia;26;Male;Less than a high school degree;germany;98
antarctica;26;Male;Less than a high school degree;germany;98
europe;26;Female;High school degree or equivalent;germany;99
australia;26;Female;High school degree or equivalent;germany;99
africa;26;Female;High school degree or equivalent;germany;99
australia;45;Female;Bachelor's degree;usa;100
europe;45;Female;Bachelor's degree;usa;100
asia;45;Female;Bachelor's degree;usa;100
europe;23;Female;Master's degree;england;101
australia;23;Female;Master's degree;england;101
africa;23;Female;Master's degree;england;101
asia;26;Female;Bachelor's degree;germany;102
africa;26;Female;Bachelor's degree;germany;102
north america;26;Female;Bachelor's degree;germany;102
europe;70;Female;Dipl.-Ing.;germany;103
asia;70;Female;Dipl.-Ing.;germany;103
africa;70;Female;Dipl.-Ing.;germany;103
asia;33;Female;Master's degree;iran;104
africa;33;Female;Master's degree;iran;104
europe;33;Female;Master's degree;iran;104
asia;59;Male;Doctorate (e.g. PhD);germany;105
europe;59;Male;Doctorate (e.g. PhD);germany;105
africa;59;Male;Doctorate (e.g. PhD);germany;105
europe;47;Female;Doctorate (e.g. PhD);germany;106
asia;47;Female;Doctorate (e.g. PhD);germany;106
australia;47;Female;Doctorate (e.g. PhD);germany;106
asia;50;Female;Doctorate (e.g. PhD);germany;107
europe;50;Female;Doctorate (e.g. PhD);germany;107
africa;50;Female;Doctorate (e.g. PhD);germany;107
asia;45;Female;Doctorate (e.g. PhD);germany;108
north america;45;Female;Doctorate (e.g. PhD);germany;108
europe;45;Female;Doctorate (e.g. PhD);germany;108
