fast_food;p_age;p_gender;p_education;p_country;p_id
hamburger;21;Female;High school degree or equivalent;germany;47
hot dog;21;Female;High school degree or equivalent;germany;47
french fries;21;Female;High school degree or equivalent;germany;47
hamburger;23;Female;Bachelor's degree;germany;48
french fries;23;Female;Bachelor's degree;germany;48
milkshake;23;Female;Bachelor's degree;germany;48
hamburger;36;Male;Bachelor's degree;india;49
french fries;36;Male;Bachelor's degree;india;49
samosa;36;Male;Bachelor's degree;india;49
pizza;28;Female;Master's degree;romania;50
pasta;28;Female;Master's degree;romania;50
sushi;28;Female;Master's degree;romania;50
pizza;19;Female;High school degree or equivalent;germany;51
hamburger;19;Female;High school degree or equivalent;germany;51
taco;19;Female;High school degree or equivalent;germany;51
french fries;19;Female;High school degree or equivalent;germany;52
hamburger;19;Female;High school degree or equivalent;germany;52
kebab;19;Female;High school degree or equivalent;germany;52
hamburger;25;Male;Bachelor's degree;germany;53
french fries;25;Male;Bachelor's degree;germany;53
tacos;25;Male;Bachelor's degree;germany;53
french fries;34;Female;Master's degree;france;54
hamburger;34;Female;Master's degree;france;54
hot dog;34;Female;Master's degree;france;54
french fries;20;Female;High school degree or equivalent;germany;55
hamburger;20;Female;High school degree or equivalent;germany;55
chick nuggets;20;Female;High school degree or equivalent;germany;55
hamburger;26;Female;Master's degree;france;56
kebab;29;Prefer not to say;Master's degree;germany;57
ketwurst;29;Prefer not to say;Master's degree;germany;57
currywurst;29;Prefer not to say;Master's degree;germany;57
hamburger;31;Male;Master's degree;germany;58
taco;31;Male;Master's degree;germany;58
asian;31;Male;Master's degree;germany;58
hamburger;23;Male;High school degree or equivalent;germany;59
french fries;23;Male;High school degree or equivalent;germany;59
pizza;23;Male;High school degree or equivalent;germany;59
hamburger;21;Female;High school degree or equivalent;germany;60
hot dog;21;Female;High school degree or equivalent;germany;60
french fries;21;Female;High school degree or equivalent;germany;60
pizza;54;Male;High school degree or equivalent;germany;61
hamburger;54;Male;High school degree or equivalent;germany;61
sushi;54;Male;High school degree or equivalent;germany;61
hamburger;30;Female;Master's degree;france;62
pizza;30;Female;Master's degree;france;62
chips;30;Female;Master's degree;france;62
hamburger;24;Male;Bachelor's degree;germany;63
french fries;24;Male;Bachelor's degree;germany;63
pizza;24;Male;Bachelor's degree;germany;63
hamburger;17;Male;Less than a high school degree;germany;64
fishandchips;17;Male;Less than a high school degree;germany;64
french fries;17;Male;Less than a high school degree;germany;64
hamburger;25;Female;High school degree or equivalent;germany;65
kebab;25;Female;High school degree or equivalent;germany;65
french fries;25;Female;High school degree or equivalent;germany;65
french fries;16;Male;Less than a high school degree;germany;66
hamburger;16;Male;Less than a high school degree;germany;66
chick nuggets;16;Male;Less than a high school degree;germany;66
hamburger;21;Male;High school degree or equivalent;germany;67
french fries;21;Male;High school degree or equivalent;germany;67
chick nuggets;21;Male;High school degree or equivalent;germany;67
hamburger;0;Prefer not to say;NaN;nan;68
french fries;0;Prefer not to say;NaN;nan;68
hot dog;0;Prefer not to say;NaN;nan;68
hamburger;24;Female;Master's degree;france;69
kebab;26;Female;Master's degree;france;70
hamburger;26;Female;Master's degree;france;70
burrito;26;Female;Master's degree;france;70
hamburger;34;Female;Master's degree;germany;71
french fries;34;Female;Master's degree;germany;71
pizza;34;Female;Master's degree;germany;71
pizza;54;Male;Less than a high school degree;germany;72
hamburger;54;Male;Less than a high school degree;germany;72
taco;54;Male;Less than a high school degree;germany;72
hamburger;23;Male;Bachelor's degree;germany;73
kebab;23;Male;Bachelor's degree;germany;73
hot dog;23;Male;Bachelor's degree;germany;73
hamburger;27;Male;Master's degree;germany;74
taco;27;Male;Master's degree;germany;74
chick nuggets;27;Male;Master's degree;germany;74
nachos;25;Male;Bachelor's degree;germany;75
burrito;25;Male;Bachelor's degree;germany;75
hamburger;25;Male;Bachelor's degree;germany;75
hamburger;27;Female;Master's degree;germany;76
french fries;27;Female;Master's degree;germany;76
pizza;27;Female;Master's degree;germany;76
taco;51;Male;High school degree or equivalent;germany;77
pizza;51;Male;High school degree or equivalent;germany;77
icecream;51;Male;High school degree or equivalent;germany;77
hamburger;26;Male;High school degree or equivalent;germany;78
pizza;26;Male;High school degree or equivalent;germany;78
asian;26;Male;High school degree or equivalent;germany;78
french fries;27;Male;Bachelor's degree;germany;79
hamburger;27;Male;Bachelor's degree;germany;79
pizza;27;Male;Bachelor's degree;germany;79
hamburger;25;Male;Master's degree;germany;80
pizza;25;Male;Master's degree;germany;80
sandwich;25;Male;Master's degree;germany;80
hamburger;25;Male;Bachelor's degree;germany;81
sushi;25;Male;Bachelor's degree;germany;81
taco;25;Male;Bachelor's degree;germany;81
hamburger;21;Male;High school degree or equivalent;germany;82
hot dog;21;Male;High school degree or equivalent;germany;82
kebab;21;Male;High school degree or equivalent;germany;82
hamburger;23;Female;Bachelor's degree;germany;83
french fries;23;Female;Bachelor's degree;germany;83
pizza;23;Female;Bachelor's degree;germany;83
hamburger;28;Female;Master's degree;germany;84
sandwich;28;Female;Master's degree;germany;84
pizza;28;Female;Master's degree;germany;84
hamburger;25;Female;Master's degree;germany;85
french fries;25;Female;Master's degree;germany;85
milkshake;25;Female;Master's degree;germany;85
hamburger;25;Female;Bachelor's degree;russia;86
kebab;25;Female;Bachelor's degree;russia;86
falafel;25;Female;Bachelor's degree;russia;86
pizza;24;Female;High school degree or equivalent;germany;87
hamburger;24;Female;High school degree or equivalent;germany;87
kebab;24;Female;High school degree or equivalent;germany;87
hamburger;26;Male;Bachelor's degree;germany;88
pizza;26;Male;Bachelor's degree;germany;88
sushi;26;Male;Bachelor's degree;germany;88
hamburger;27;Female;Master's degree;germany;89
french fries;27;Female;Master's degree;germany;89
chick nuggets;27;Female;Master's degree;germany;89
hamburger;25;Male;Bachelor's degree;germany;90
kebab;25;Male;Bachelor's degree;germany;90
pizza;25;Male;Bachelor's degree;germany;90
hamburger;25;Male;High school degree or equivalent;germany;91
hot dog;25;Male;High school degree or equivalent;germany;91
french fries;25;Male;High school degree or equivalent;germany;91
hamburger;28;Male;High school degree or equivalent;germany;92
pizza;28;Male;High school degree or equivalent;germany;92
french fries;28;Male;High school degree or equivalent;germany;92
currywurst;47;Female;Bachelor's degree;england;93
hamburger;47;Female;Bachelor's degree;england;93
kebab;47;Female;Bachelor's degree;england;93
hamburger;38;Male;Bachelor's degree;germany;94
cheeseburger;38;Male;Bachelor's degree;germany;94
french fries;38;Male;Bachelor's degree;germany;94
hamburger;40;Female;Bachelor's degree;china;95
french fries;40;Female;Bachelor's degree;china;95
chickenwings;40;Female;Bachelor's degree;china;95
hamburger;28;Female;High school degree or equivalent;pakistan;96
chickenwings;28;Female;High school degree or equivalent;pakistan;96
hamburger;48;Female;Diplom;germany;97
french fries;48;Female;Diplom;germany;97
pizza;48;Female;Diplom;germany;97
hamburger;26;Male;Less than a high school degree;germany;98
pizza;26;Male;Less than a high school degree;germany;98
french fries;26;Male;Less than a high school degree;germany;98
hamburger;26;Female;High school degree or equivalent;germany;99
hot dog;26;Female;High school degree or equivalent;germany;99
french fries;26;Female;High school degree or equivalent;germany;99
hamburger;45;Female;Bachelor's degree;usa;100
hamburgers;23;Female;Master's degree;england;101
french fries;23;Female;Master's degree;england;101
pizza;23;Female;Master's degree;england;101
hamburger;26;Female;Bachelor's degree;germany;102
pizza;26;Female;Bachelor's degree;germany;102
hot dogs;26;Female;Bachelor's degree;germany;102
hamburger;70;Female;Dipl.-Ing.;germany;103
hot dog;70;Female;Dipl.-Ing.;germany;103
taco;70;Female;Dipl.-Ing.;germany;103
pizza;33;Female;Master's degree;iran;104
hamburger;33;Female;Master's degree;iran;104
french fries;33;Female;Master's degree;iran;104
hamburger;59;Male;Doctorate (e.g. PhD);germany;105
friedchicken;59;Male;Doctorate (e.g. PhD);germany;105
pizza;59;Male;Doctorate (e.g. PhD);germany;105
hamburger;47;Female;Doctorate (e.g. PhD);germany;106
french fries;47;Female;Doctorate (e.g. PhD);germany;106
kebab;47;Female;Doctorate (e.g. PhD);germany;106
hot dog;50;Female;Doctorate (e.g. PhD);germany;107
hamburger;50;Female;Doctorate (e.g. PhD);germany;107
french fries;50;Female;Doctorate (e.g. PhD);germany;107
pizza;45;Female;Doctorate (e.g. PhD);germany;108
hamburger;45;Female;Doctorate (e.g. PhD);germany;108
fishandchips;45;Female;Doctorate (e.g. PhD);germany;108
