cities;p_age;p_gender;p_education;p_country;p_id
paris;30;Female;Master's degree;france;62
london;30;Female;Master's degree;france;62
new york;30;Female;Master's degree;france;62
frankfurt;24;Male;Bachelor's degree;germany;63
milano;24;Male;Bachelor's degree;germany;63
new york;24;Male;Bachelor's degree;germany;63
berlin;17;Male;Less than a high school degree;germany;64
frankfurt;17;Male;Less than a high school degree;germany;64
gothamcity;17;Male;Less than a high school degree;germany;64
waterloo;25;Female;High school degree or equivalent;germany;65
geneva;25;Female;High school degree or equivalent;germany;65
copenhagen;25;Female;High school degree or equivalent;germany;65
new york;16;Male;Less than a high school degree;germany;66
washington, d.c.;16;Male;Less than a high school degree;germany;66
los angeles;16;Male;Less than a high school degree;germany;66
cologne;21;Male;High school degree or equivalent;germany;67
paris;21;Male;High school degree or equivalent;germany;67
barcelona;21;Male;High school degree or equivalent;germany;67
heidelberg;0;Prefer not to say;NaN;nan;68
mannheim;0;Prefer not to say;NaN;nan;68
frankfurt;0;Prefer not to say;NaN;nan;68
paris;24;Female;Master's degree;france;69
singapore;24;Female;Master's degree;france;69
london;24;Female;Master's degree;france;69
paris;26;Female;Master's degree;france;70
london;26;Female;Master's degree;france;70
berlin;26;Female;Master's degree;france;70
berlin;34;Female;Master's degree;germany;71
london;34;Female;Master's degree;germany;71
paris;34;Female;Master's degree;germany;71
berlin;54;Male;Less than a high school degree;germany;72
munich;54;Male;Less than a high school degree;germany;72
paris;54;Male;Less than a high school degree;germany;72
kyiv;23;Male;Bachelor's degree;germany;73
berlin;23;Male;Bachelor's degree;germany;73
frankfurt;23;Male;Bachelor's degree;germany;73
mannheim;27;Male;Master's degree;germany;74
berlin;27;Male;Master's degree;germany;74
athens;27;Male;Master's degree;germany;74
moscow;25;Male;Bachelor's degree;germany;75
kyiv;25;Male;Bachelor's degree;germany;75
beijing;25;Male;Bachelor's degree;germany;75
paris;27;Female;Master's degree;germany;76
rome;27;Female;Master's degree;germany;76
london;27;Female;Master's degree;germany;76
mannheim;51;Male;High school degree or equivalent;germany;77
heidelberg;51;Male;High school degree or equivalent;germany;77
hamburg;51;Male;High school degree or equivalent;germany;77
heidelberg;26;Male;High school degree or equivalent;germany;78
mannheim;26;Male;High school degree or equivalent;germany;78
stuttgart;26;Male;High school degree or equivalent;germany;78
berlin;27;Male;Bachelor's degree;germany;79
new york;27;Male;Bachelor's degree;germany;79
london;27;Male;Bachelor's degree;germany;79
cologne;25;Male;Master's degree;germany;80
düsseldorf;25;Male;Master's degree;germany;80
frankfurt;25;Male;Master's degree;germany;80
heidelberg;25;Male;Bachelor's degree;germany;81
berlin;25;Male;Bachelor's degree;germany;81
madrid;25;Male;Bachelor's degree;germany;81
peking;21;Male;High school degree or equivalent;germany;82
moscow;21;Male;High school degree or equivalent;germany;82
oslo;21;Male;High school degree or equivalent;germany;82
mannheim;23;Female;Bachelor's degree;germany;83
heidelberg;23;Female;Bachelor's degree;germany;83
weinheim;23;Female;Bachelor's degree;germany;83
new york;28;Female;Master's degree;germany;84
amsterdam;28;Female;Master's degree;germany;84
berlin;28;Female;Master's degree;germany;84
berlin;25;Female;Master's degree;germany;85
hanover;25;Female;Master's degree;germany;85
heidelberg;25;Female;Master's degree;germany;85
berlin;25;Female;Bachelor's degree;russia;86
tokyo;25;Female;Bachelor's degree;russia;86
london;25;Female;Bachelor's degree;russia;86
monchengladbach;24;Female;High school degree or equivalent;germany;87
hamburg;24;Female;High school degree or equivalent;germany;87
munich;24;Female;High school degree or equivalent;germany;87
heidelberg;26;Male;Bachelor's degree;germany;88
glue;26;Male;Bachelor's degree;germany;88
mannheim;26;Male;Bachelor's degree;germany;88
new york;27;Female;Master's degree;germany;89
london;27;Female;Master's degree;germany;89
barcelona;27;Female;Master's degree;germany;89
munich;25;Male;Bachelor's degree;germany;90
berlin;25;Male;Bachelor's degree;germany;90
hamburg;25;Male;Bachelor's degree;germany;90
berlin;25;Male;High school degree or equivalent;germany;91
paris;25;Male;High school degree or equivalent;germany;91
madrid;25;Male;High school degree or equivalent;germany;91
berlin;28;Male;High school degree or equivalent;germany;92
rome;28;Male;High school degree or equivalent;germany;92
sydney;28;Male;High school degree or equivalent;germany;92
london;47;Female;Bachelor's degree;england;93
seville;47;Female;Bachelor's degree;england;93
rome;47;Female;Bachelor's degree;england;93
london;38;Male;Bachelor's degree;germany;94
berlin;38;Male;Bachelor's degree;germany;94
künzelsau;38;Male;Bachelor's degree;germany;94
shanghai;40;Female;Bachelor's degree;china;95
beijing;40;Female;Bachelor's degree;china;95
london;40;Female;Bachelor's degree;china;95
rome;28;Female;High school degree or equivalent;pakistan;96
mannheim;28;Female;High school degree or equivalent;pakistan;96
paris;28;Female;High school degree or equivalent;pakistan;96
mannheim;48;Female;Diplom;germany;97
stuttgart;48;Female;Diplom;germany;97
munich;48;Female;Diplom;germany;97
munich;26;Male;Less than a high school degree;germany;98
reykjavik;26;Male;Less than a high school degree;germany;98
lisbon;26;Male;Less than a high school degree;germany;98
jaipur;26;Female;High school degree or equivalent;germany;99
berlin;26;Female;High school degree or equivalent;germany;99
heidelberg;26;Female;High school degree or equivalent;germany;99
pittsburgh;45;Female;Bachelor's degree;usa;100
las vegas;45;Female;Bachelor's degree;usa;100
london;45;Female;Bachelor's degree;usa;100
birmingham;23;Female;Master's degree;england;101
nice;23;Female;Master's degree;england;101
amsterdam;23;Female;Master's degree;england;101
berlin;26;Female;Bachelor's degree;germany;102
hamburg;26;Female;Bachelor's degree;germany;102
munich;26;Female;Bachelor's degree;germany;102
paris;70;Female;Dipl.-Ing.;germany;103
berlin;70;Female;Dipl.-Ing.;germany;103
rome;70;Female;Dipl.-Ing.;germany;103
new york;33;Female;Master's degree;iran;104
washington;33;Female;Master's degree;iran;104
dublin;33;Female;Master's degree;iran;104
new york;59;Male;Doctorate (e.g. PhD);germany;105
stockholm;59;Male;Doctorate (e.g. PhD);germany;105
munich;59;Male;Doctorate (e.g. PhD);germany;105
rome;47;Female;Doctorate (e.g. PhD);germany;106
bologna;47;Female;Doctorate (e.g. PhD);germany;106
berlin;47;Female;Doctorate (e.g. PhD);germany;106
berlin;50;Female;Doctorate (e.g. PhD);germany;107
munich;50;Female;Doctorate (e.g. PhD);germany;107
hamburg;50;Female;Doctorate (e.g. PhD);germany;107
new york;45;Female;Doctorate (e.g. PhD);germany;108
hamburg;45;Female;Doctorate (e.g. PhD);germany;108
bremen;45;Female;Doctorate (e.g. PhD);germany;108
