african_animals;p_age;p_gender;p_education;p_country;p_id
elephant;28;Female;Master's degree;germany;84
zebra;28;Female;Master's degree;germany;84
lion;28;Female;Master's degree;germany;84
giraffe;25;Female;Master's degree;germany;85
lion;25;Female;Bachelor's degree;russia;86
elephant;25;Female;Bachelor's degree;russia;86
zebra;25;Female;Bachelor's degree;russia;86
elephant;24;Female;High school degree or equivalent;germany;87
zebra;24;Female;High school degree or equivalent;germany;87
hippo;24;Female;High school degree or equivalent;germany;87
monkey;26;Male;Bachelor's degree;germany;88
crocodile;26;Male;Bachelor's degree;germany;88
hippo;26;Male;Bachelor's degree;germany;88
tiger;27;Female;Master's degree;germany;89
elephant;27;Female;Master's degree;germany;89
giraffe;27;Female;Master's degree;germany;89
giraffe;25;Male;Bachelor's degree;germany;90
elephant;25;Male;Bachelor's degree;germany;90
lion;25;Male;Bachelor's degree;germany;90
elephant;25;Male;High school degree or equivalent;germany;91
zebra;25;Male;High school degree or equivalent;germany;91
lion;25;Male;High school degree or equivalent;germany;91
zebra;28;Male;High school degree or equivalent;germany;92
rhino;28;Male;High school degree or equivalent;germany;92
alligator;28;Male;High school degree or equivalent;germany;92
elephant;47;Female;Bachelor's degree;england;93
giraffe;47;Female;Bachelor's degree;england;93
zebra;47;Female;Bachelor's degree;england;93
elephant;38;Male;Bachelor's degree;germany;94
buffalo;38;Male;Bachelor's degree;germany;94
rhino;38;Male;Bachelor's degree;germany;94
lion;40;Female;Bachelor's degree;china;95
elephant;40;Female;Bachelor's degree;china;95
tiger;40;Female;Bachelor's degree;china;95
zebra;28;Female;High school degree or equivalent;pakistan;96
elephant;28;Female;High school degree or equivalent;pakistan;96
lion;28;Female;High school degree or equivalent;pakistan;96
lion;48;Female;Diplom;germany;97
elephant;48;Female;Diplom;germany;97
giraffe;48;Female;Diplom;germany;97
lion;26;Male;Less than a high school degree;germany;98
elephant;26;Male;Less than a high school degree;germany;98
hippo;26;Male;Less than a high school degree;germany;98
zebra;26;Female;High school degree or equivalent;germany;99
gnu;26;Female;High school degree or equivalent;germany;99
elephant;26;Female;High school degree or equivalent;germany;99
elephant;45;Female;Bachelor's degree;usa;100
hyena;45;Female;Bachelor's degree;usa;100
hippo;45;Female;Bachelor's degree;usa;100
elephant;23;Female;Master's degree;england;101
lion;23;Female;Master's degree;england;101
antelope;23;Female;Master's degree;england;101
antelope;26;Female;Bachelor's degree;germany;102
lion;26;Female;Bachelor's degree;germany;102
elephant;26;Female;Bachelor's degree;germany;102
lion;70;Female;Dipl.-Ing.;germany;103
giraffe;70;Female;Dipl.-Ing.;germany;103
rhino;70;Female;Dipl.-Ing.;germany;103
elephant;33;Female;Master's degree;iran;104
hippopotamus;33;Female;Master's degree;iran;104
giraffe;33;Female;Master's degree;iran;104
elephant;59;Male;Doctorate (e.g. PhD);germany;105
lion;59;Male;Doctorate (e.g. PhD);germany;105
gnu;59;Male;Doctorate (e.g. PhD);germany;105
lion;47;Female;Doctorate (e.g. PhD);germany;106
zebra;47;Female;Doctorate (e.g. PhD);germany;106
giraffe;47;Female;Doctorate (e.g. PhD);germany;106
lion;50;Female;Doctorate (e.g. PhD);germany;107
elephant;50;Female;Doctorate (e.g. PhD);germany;107
cheeta;50;Female;Doctorate (e.g. PhD);germany;107
leopard;45;Female;Doctorate (e.g. PhD);germany;108
elephant;45;Female;Doctorate (e.g. PhD);germany;108
lion;45;Female;Doctorate (e.g. PhD);germany;108
