european_capital_cities;p_age;p_gender;p_education;p_country;p_id
sofia;25;Female;Master's degree;germany;85
paris;25;Female;Bachelor's degree;russia;86
copenhagen;25;Female;Bachelor's degree;russia;86
brussels;25;Female;Bachelor's degree;russia;86
lisbon;24;Female;High school degree or equivalent;germany;87
warsaw;24;Female;High school degree or equivalent;germany;87
rome;24;Female;High school degree or equivalent;germany;87
berlin;26;Male;Bachelor's degree;germany;88
kiev;26;Male;Bachelor's degree;germany;88
warsaw;26;Male;Bachelor's degree;germany;88
berlin;27;Female;Master's degree;germany;89
paris;27;Female;Master's degree;germany;89
madrid;27;Female;Master's degree;germany;89
copenhagen;25;Male;Bachelor's degree;germany;90
paris;25;Male;Bachelor's degree;germany;90
madrid;25;Male;Bachelor's degree;germany;90
berlin;25;Male;High school degree or equivalent;germany;91
paris;25;Male;High school degree or equivalent;germany;91
madrid;25;Male;High school degree or equivalent;germany;91
berlin;28;Male;High school degree or equivalent;germany;92
amsterdam;28;Male;High school degree or equivalent;germany;92
copenhagen;28;Male;High school degree or equivalent;germany;92
london;47;Female;Bachelor's degree;england;93
madrid;47;Female;Bachelor's degree;england;93
rome;47;Female;Bachelor's degree;england;93
london;38;Male;Bachelor's degree;germany;94
berlin;38;Male;Bachelor's degree;germany;94
warsaw;38;Male;Bachelor's degree;germany;94
berlin;40;Female;Bachelor's degree;china;95
london;40;Female;Bachelor's degree;china;95
paris;40;Female;Bachelor's degree;china;95
helsinki;28;Female;High school degree or equivalent;pakistan;96
berlin;28;Female;High school degree or equivalent;pakistan;96
rome;28;Female;High school degree or equivalent;pakistan;96
berlin;48;Female;Diplom;germany;97
paris;48;Female;Diplom;germany;97
london;48;Female;Diplom;germany;97
reykjavik;26;Male;Less than a high school degree;germany;98
oslo;26;Male;Less than a high school degree;germany;98
helsinki;26;Male;Less than a high school degree;germany;98
berlin;26;Female;High school degree or equivalent;germany;99
sofia;26;Female;High school degree or equivalent;germany;99
helsinki;26;Female;High school degree or equivalent;germany;99
paris;45;Female;Bachelor's degree;usa;100
lisbon;45;Female;Bachelor's degree;usa;100
berlin;45;Female;Bachelor's degree;usa;100
barcelona;23;Female;Master's degree;england;101
london;23;Female;Master's degree;england;101
dublin;23;Female;Master's degree;england;101
london;26;Female;Bachelor's degree;germany;102
paris;26;Female;Bachelor's degree;germany;102
berlin;26;Female;Bachelor's degree;germany;102
paris;70;Female;Dipl.-Ing.;germany;103
berlin;70;Female;Dipl.-Ing.;germany;103
rome;70;Female;Dipl.-Ing.;germany;103
dublin;33;Female;Master's degree;iran;104
london;33;Female;Master's degree;iran;104
belfast;33;Female;Master's degree;iran;104
paris;59;Male;Doctorate (e.g. PhD);germany;105
london;59;Male;Doctorate (e.g. PhD);germany;105
helsinki;59;Male;Doctorate (e.g. PhD);germany;105
paris;47;Female;Doctorate (e.g. PhD);germany;106
london;47;Female;Doctorate (e.g. PhD);germany;106
berlin;47;Female;Doctorate (e.g. PhD);germany;106
paris;50;Female;Doctorate (e.g. PhD);germany;107
rome;50;Female;Doctorate (e.g. PhD);germany;107
london;50;Female;Doctorate (e.g. PhD);germany;107
vienna;45;Female;Doctorate (e.g. PhD);germany;108
berlin;45;Female;Doctorate (e.g. PhD);germany;108
moscow;45;Female;Doctorate (e.g. PhD);germany;108
